,time,low,high,open,close,volume
0,20:35:00,6662.62,6767.0,6666.11,6725.99,615.24025412
1,20:40:00,6681.97,6741.33,6741.33,6711.07,258.40438944
2,20:45:00,6700.93,6727.62,6711.07,6718.34,332.88213548
3,20:50:00,6670.0,6725.0,6721.7,6673.0,343.20921729
4,20:55:00,6613.78,6680.0,6673.96,6670.0,332.62378807
5,21:00:00,6642.58,6674.0,6670.0,6651.43,53.93602457
6,21:05:00,6648.46,6675.0,6648.46,6654.1,89.00710103
7,21:10:00,6602.57,6661.86,6651.0,6606.79,152.50058422
8,21:15:00,6606.35,6650.0,6608.0,6650.0,173.91267993
9,21:20:00,6621.1,6648.96,6648.85,6630.86,39.47527833
10,21:25:00,6627.42,6655.04,6630.86,6647.57,74.19052161
11,21:30:00,6625.0,6647.57,6647.57,6633.19,60.44081747
12,21:35:00,6635.0,6658.42,6643.41,6643.56,13.51968897
13,21:40:00,6630.0,6635.01,6635.01,6630.01,5.2470229
14,21:45:00,6630.0,6637.04,6630.01,6636.49,32.15290846
15,21:50:00,6635.0,6636.5,6636.5,6635.01,10.76227464
16,21:55:00,6570.92,6635.01,6635.01,6581.35,143.67024469
17,22:00:00,6583.63,6603.42,6585.02,6594.03,62.21007972
18,22:05:00,6590.92,6600.2,6597.89,6596.52,26.3624203
19,22:10:00,6596.8,6620.14,6597.24,6613.25,51.76833562
20,22:15:00,6606.83,6621.93,6613.25,6621.93,73.8322784
21,22:20:00,6616.96,6638.88,6619.4,6638.02,33.61927681
22,22:25:00,6625.0,6641.37,6638.01,6628.14,29.11097682
23,22:30:00,6614.06,6628.14,6628.14,6618.35,38.45548227
24,22:35:00,6618.34,6636.06,6618.35,6634.87,42.9619596
25,22:40:00,6630.48,6636.38,6634.87,6631.61,32.11454769
26,22:45:00,6614.72,6631.61,6631.61,6617.08,86.35254678
27,22:50:00,6616.67,6629.98,6616.94,6624.32,43.68933338
28,22:55:00,6617.82,6636.06,6623.85,6627.01,39.88971972
29,23:00:00,6619.09,6636.06,6627.0,6619.12,42.04330405
30,23:05:00,6615.0,6632.69,6619.11,6628.45,29.027762
31,23:10:00,6609.01,6631.91,6627.42,6609.01,24.65295591
32,23:15:00,6596.8,6615.12,6609.01,6607.97,57.76760656
33,23:20:00,6598.18,6607.97,6607.97,6603.58,25.94284477
34,23:25:00,6601.18,6612.85,6603.57,6609.43,40.00003344
35,23:30:00,6596.87,6609.34,6608.91,6599.54,28.94636271
